,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
78,SWA1677,B737,Bob Hope (KBUR),Harry Reid Intl (KLAS),Tue 04:20PM PDT,Tue 04:56PM PDT,,
79,SWA1696,B737,Indianapolis Intl (KIND),Kansas City Intl (KMCI),Tue 06:58PM EDT,Tue 07:10PM CDT,,
80,SWA1697,B737,Phoenix Sky Harbor Intl (KPHX),Dallas Love Fld (KDAL),Tue 03:05PM MST,Tue 06:55PM CDT,,
81,SWA1709,B738,Denver Intl (KDEN),Los Angeles Intl (KLAX),Tue 04:52PM MDT,Tue 05:48PM PDT,,
82,SWA1711,B737,Will Rogers World (KOKC),Harry Reid Intl (KLAS),Tue 06:41PM CDT,Tue 06:58PM PDT,,
83,SWA1712,B737,Bob Hope (KBUR),Reno/Tahoe Intl (KRNO),Tue 04:06PM PDT,Tue 05:02PM PDT,,
84,SWA1714,B738,Phoenix Sky Harbor Intl (KPHX),San Antonio Intl (KSAT),Tue 03:31PM MST,Tue 07:10PM CDT,,
85,SWA1715,B738,San Antonio Intl (KSAT),Hartsfield-Jackson Intl (KATL),Tue 05:24PM CDT,Tue 08:18PM EDT,,
86,SWA1716,B737,Portland Intl (KPDX),Sacramento Intl (KSMF),Tue 04:40PM PDT,Tue 05:58PM PDT,,
87,SWA1726,B737,Austin-Bergstrom Intl (KAUS),Indianapolis Intl (KIND),Tue 06:22PM CDT,Tue 09:08PM EDT,,
88,SWA1744,B738,San Diego Intl (KSAN),Harry Reid Intl (KLAS),Tue 04:32PM PDT,Tue 05:20PM PDT,,
89,SWA1751,B38M,Daniel K Inouye Intl (PHNL),Daugherty Field (KLGB),Tue 12:45PM HST,Tue 08:34PM PDT,,
90,SWA1766,B737,Harry Reid Intl (KLAS),Denver Intl (KDEN),Tue 04:39PM PDT,Tue 07:04PM MDT,,
91,SWA1770,B38M,San Antonio Intl (KSAT),El Paso Intl (KELP),Tue 06:23PM CDT,Tue 06:38PM MDT,,
92,SWA1771,B738,Harry Reid Intl (KLAS),Baltimore/Washington Intl (KBWI),Tue 04:10PM PDT,Tue 11:07PM EDT,,
93,SWA1775,B737,Nashville Intl (KBNA),Austin-Bergstrom Intl (KAUS),Tue 05:58PM CDT,Tue 07:51PM CDT,,
94,SWA1776,B737,Ontario Intl (KONT),William P Hobby (KHOU),Tue 02:18PM PDT,Tue 06:53PM CDT,,
