,"Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft","Airborne Southwest ""Southwest"" (SWA) Aircraft"
383,SWA462,B38M,Dallas Love Fld (KDAL),Daugherty Field (KLGB),Tue 04:04PM CDT,Tue 04:55PM PDT,,
384,SWA468,B738,Denver Intl (KDEN),Nashville Intl (KBNA),Tue 04:46PM MDT,Tue 07:49PM CDT,,
385,SWA469,B737,Chicago Midway Intl (KMDW),Los Angeles Intl (KLAX),Tue 04:09PM CDT,Tue 05:55PM PDT,,
386,SWA479,B738,Orlando Intl (KMCO),Denver Intl (KDEN),Tue 07:40PM EDT,Tue 09:26PM MDT,,
387,SWA480,B38M,Denver Intl (KDEN),Phoenix Sky Harbor Intl (KPHX),Tue 04:45PM MDT,Tue 05:08PM MST,,
388,SWA4828,B738,Chicago O'Hare Intl (KORD),Baltimore/Washington Intl (KBWI),Tue 06:08PM CDT,Tue 08:27PM EDT,,
389,SWA483,B737,Austin-Bergstrom Intl (KAUS),San Diego Intl (KSAN),Tue 05:41PM CDT,Tue 06:20PM PDT,,
390,SWA506,B738,Eppley Airfield (KOMA),Hartsfield-Jackson Intl (KATL),Tue 06:25PM CDT,Tue 08:59PM EDT,,
391,SWA5087,B38M,Milwaukee Mitchell Intl Airport (KMKE),Harry Reid Intl (KLAS),Tue 04:55PM CDT,Tue 06:16PM PDT,,
392,SWA509,B738,Raleigh-Durham Intl (KRDU),Denver Intl (KDEN),Tue 05:31PM EDT,Tue 06:53PM MDT,,
393,SWA516,B738,Washington Dulles Intl (KIAD),Chicago Midway Intl (KMDW),Tue 07:32PM EDT,Tue 08:12PM CDT,,
394,SWA526,B737,Bob Hope (KBUR),Phoenix Sky Harbor Intl (KPHX),Tue 04:25PM PDT,Tue 05:28PM MST,,
395,SWA5274,B38M,Phoenix Sky Harbor Intl (KPHX),Daniel K Inouye Intl (PHNL),Tue 11:52AM MST,Tue 03:07PM HST,,
396,SWA5325,B38M,Daniel K Inouye Intl (PHNL),Phoenix Sky Harbor Intl (KPHX),Tue 09:58AM HST,Tue 06:18PM MST,,
397,SWA534,B737,San Diego Intl (KSAN),Phoenix Sky Harbor Intl (KPHX),Tue 04:14PM PDT,Tue 05:02PM MST,,
398,SWA54,B737,Eglin AFB/Destin-Ft Walton Beach (KVPS),William P Hobby (KHOU),Tue 06:03PM CDT,Tue 07:37PM CDT,,
399,SWA549,B738,Fort Lauderdale Intl (KFLL),New Orleans Intl (KMSY),Tue 07:07PM EDT,Tue 07:46PM CDT,,
400,SWA55,B38M,Charleston Intl/AFB (KCHS),Dallas Love Fld (KDAL),Tue 06:22PM EDT,Tue 07:44PM CDT,,
401,SWA556,B737,Harry Reid Intl (KLAS),Austin-Bergstrom Intl (KAUS),Tue 02:58PM PDT,Tue 07:04PM CDT,,
402,SWA557,B738,Baltimore/Washington Intl (KBWI),Sarasota/Bradenton Intl (KSRQ),Tue 07:24PM EDT,Tue 09:38PM EDT,,
403,SWA5581,B737,Nashville Intl (KBNA),Baltimore/Washington Intl (KBWI),Tue 06:30PM CDT,Tue 08:51PM EDT,,
404,SWA561,B738,Baltimore/Washington Intl (KBWI),Myrtle Beach Intl (KMYR),Tue 07:24PM EDT,Tue 08:31PM EDT,,
405,SWA562,B738,Denver Intl (KDEN),Ontario Intl (KONT),Tue 04:57PM MDT,Tue 05:51PM PDT,,
406,SWA576,B737,Baltimore/Washington Intl (KBWI),Tampa Intl (KTPA),Tue 06:04PM EDT,Tue 08:12PM EDT,,
407,SWA6001,B737,Nashville Intl (KBNA),Harry Reid Intl (KLAS),Tue 06:12PM CDT,Tue 07:52PM PDT,,
408,SWA61,B738,Harry Reid Intl (KLAS),Dallas Love Fld (KDAL),Tue 04:18PM PDT,Tue 08:22PM CDT,,
409,SWA639,B738,Metro Oakland Intl (KOAK),Baltimore/Washington Intl (KBWI),Tue 12:52PM PDT,Tue 08:17PM EDT,,
410,SWA643,B737,Metro Oakland Intl (KOAK),Denver Intl (KDEN),Tue 03:21PM PDT,Tue 06:18PM MDT,,
411,SWA653,B738,San Francisco Int'l (KSFO),Harry Reid Intl (KLAS),Tue 04:13PM PDT,Tue 05:15PM PDT,,
412,SWA6606,B738,Harry Reid Intl (KLAS),Milwaukee Mitchell Intl Airport (KMKE),Tue 02:09PM PDT,Tue 07:03PM CDT,,
413,SWA678,B38M,Charleston Intl/AFB (KCHS),Baltimore/Washington Intl (KBWI),Tue 07:41PM EDT,Tue 08:54PM EDT,,
414,SWA679,B738,Dallas Love Fld (KDAL),LaGuardia (KLGA),Tue 06:03PM CDT,Tue 09:43PM EDT,,
415,SWA683,B737,John Glenn Columbus Intl Airport (KCMH),Orlando Intl (KMCO),Tue 06:56PM EDT,Tue 08:40PM EDT,,
416,SWA696,B737,Fort Lauderdale Intl (KFLL),Hartsfield-Jackson Intl (KATL),Tue 07:14PM EDT,Tue 08:40PM EDT,,
417,SWA702,B38M,William P Hobby (KHOU),St Louis Lambert Intl (KSTL),Tue 05:45PM CDT,Tue 07:14PM CDT,,
418,SWA733,B737,Kansas City Intl (KMCI),Harry Reid Intl (KLAS),Tue 06:52PM CDT,Tue 07:27PM PDT,,
419,SWA760,B737,William P Hobby (KHOU),Los Angeles Intl (KLAX),Tue 05:03PM CDT,Tue 06:12PM PDT,,
420,SWA766,B737,Baltimore/Washington Intl (KBWI),Fort Lauderdale Intl (KFLL),Tue 07:43PM EDT,Tue 09:57PM EDT,,
421,SWA775,B737,Austin-Bergstrom Intl (KAUS),Hartsfield-Jackson Intl (KATL),Tue 05:53PM CDT,Tue 08:30PM EDT,,
422,SWA785,B738,Denver Intl (KDEN),Baltimore/Washington Intl (KBWI),Tue 04:13PM MDT,Tue 08:59PM EDT,,
423,SWA791,B737,Baltimore/Washington Intl (KBWI),Southwest Florida Intl (KRSW),Tue 07:41PM EDT,Tue 10:01PM EDT,,
424,SWA802,B737,Dallas Love Fld (KDAL),Orlando Intl (KMCO),Tue 06:01PM CDT,Tue 09:06PM EDT,,
425,SWA818,B737,William P Hobby (KHOU),Daugherty Field (KLGB),Tue 06:09PM CDT,Tue 07:15PM PDT,,
426,SWA839,B737,San Diego Intl (KSAN),Phoenix Sky Harbor Intl (KPHX),Tue 04:45PM PDT,Tue 05:39PM MST,,
427,SWA851,B738,Orlando Intl (KMCO),Chicago Midway Intl (KMDW),Tue 07:38PM EDT,Tue 09:04PM CDT,,
428,SWA858,B738,Denver Intl (KDEN),Phoenix Sky Harbor Intl (KPHX),Tue 05:13PM MDT,Tue 05:40PM MST,,
429,SWA879,B737,William P Hobby (KHOU),Chicago Midway Intl (KMDW),Tue 06:47PM CDT,Tue 08:44PM CDT,,
430,SWA897,B38M,San Francisco Int'l (KSFO),Denver Intl (KDEN),Tue 03:21PM PDT,Tue 06:09PM MDT,,
431,SWA9005,B737,Minneapolis/St Paul Intl (KMSP),Denver Intl (KDEN),Tue 05:16PM CDT,Tue 05:55PM MDT,,
432,SWA935,B38M,Phoenix Sky Harbor Intl (KPHX),Chicago Midway Intl (KMDW),Tue 04:18PM MST,Tue 09:02PM CDT,,
433,SWA937,B737,Dallas Love Fld (KDAL),Denver Intl (KDEN),Tue 06:30PM CDT,Tue 07:06PM MDT,,
434,SWA939,B737,Kansas City Intl (KMCI),Reagan National (KDCA),Tue 05:38PM CDT,Tue 08:29PM EDT,,
435,SWA946,B738,Savannah/Hilton Head Intl (KSAV),Baltimore/Washington Intl (KBWI),Tue 07:02PM EDT,Tue 08:18PM EDT,,
436,SWA949,B737,Reagan National (KDCA),Kansas City Intl (KMCI),Tue 05:46PM EDT,Tue 07:06PM CDT,,
437,SWA954,B737,Indianapolis Intl (KIND),Phoenix Sky Harbor Intl (KPHX),Tue 07:17PM EDT,Tue 07:38PM MST,,
438,SWA956,B738,Austin-Bergstrom Intl (KAUS),Fort Lauderdale Intl (KFLL),Tue 06:25PM CDT,Tue 09:32PM EDT,,
439,SWA964,B38M,New Orleans Intl (KMSY),Phoenix Sky Harbor Intl (KPHX),Tue 05:25PM CDT,Tue 06:28PM MST,,
